State_County,State,County,Levels_Smokers,Levels_COPD
"Chattooga, Georgia",Georgia,Chattooga,26.5,11.7
"Hendry, Florida",Florida,Hendry,21.5,9.0
"Kent, Delaware",Delaware,Kent,18.1,8.6
"Lee, Florida",Florida,Lee,16.0,9.0
"Union, Florida",Florida,Union,27.0,11.0
"Minidoka, Idaho",Idaho,Minidoka,16.5,6.5
"Colquitt, Georgia",Georgia,Colquitt,23.0,10.0
"Twiggs, Georgia",Georgia,Twiggs,23.5,11.5
"Marion, Georgia",Georgia,Marion,22.5,10.8
"Yuma, Colorado",Colorado,Yuma,16.4,6.6
"Clay, Florida",Florida,Clay,19.6,8.2
"Quitman, Georgia",Georgia,Quitman,23.5,14.2
"Gooding, Idaho",Idaho,Gooding,16.8,6.9
"Jerome, Idaho",Idaho,Jerome,18.0,6.5
"Litchfield, Connecticut",Connecticut,Litchfield,13.3,6.2
"Hancock, Georgia",Georgia,Hancock,25.8,11.8
"Appling, Georgia",Georgia,Appling,24.6,11.3
"Toombs, Georgia",Georgia,Toombs,22.5,10.1
"Gulf, Florida",Florida,Gulf,21.2,11.6
"Columbia, Georgia",Georgia,Columbia,16.0,5.8
"Walton, Florida",Florida,Walton,20.2,9.9
"St. Lucie, Florida",Florida,St. Lucie,17.0,9.3
"Polk, Florida",Florida,Polk,17.8,9.2
