State_County,Days_With_AQI,Good_Days,Moderate_Days,Unhealthy_For_Sensitive_Groups_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous Days
"Michigan, Kent",365,310,55,0,0,0,0
"Michigan, Keweenaw",117,116,1,0,0,0,0
"Michigan, Lenawee",358,286,72,0,0,0,0
"Michigan, Macomb",292,251,40,1,0,0,0
"Michigan, Manistee",269,249,19,1,0,0,0
"Michigan, Mason",254,244,10,0,0,0,0
"Michigan, Missaukee",363,334,29,0,0,0,0
"Michigan, Monroe",61,57,4,0,0,0,0
"Michigan, Muskegon",262,236,25,1,0,0,0
"Michigan, Oakland",293,246,45,2,0,0,0
"Michigan, Ottawa",360,308,52,0,0,0,0
"Michigan, Schoolcraft",364,347,17,0,0,0,0
"Michigan, St. Clair",365,311,51,3,0,0,0
"Michigan, Tuscola",355,345,10,0,0,0,0
"Michigan, Washtenaw",365,294,71,0,0,0,0
"Michigan, Wayne",365,157,199,9,0,0,0
"Michigan, Wexford",340,322,18,0,0,0,0
"Minnesota, Anoka",364,315,48,1,0,0,0
"Minnesota, Becker",360,336,23,1,0,0,0
"Minnesota, Beltrami",352,332,18,1,1,0,0
"Minnesota, Carlton",356,346,10,0,0,0,0
"Minnesota, Cass",350,332,17,1,0,0,0
"Minnesota, Cook",334,325,9,0,0,0,0
"Minnesota, Crow Wing",359,334,24,1,0,0,0
"Minnesota, Dakota",365,306,59,0,0,0,0
"Minnesota, Goodhue",216,203,13,0,0,0,0
"Minnesota, Hennepin",365,245,120,0,0,0,0
"Minnesota, Lake",363,343,20,0,0,0,0
"Minnesota, Lyon",362,327,35,0,0,0,0
"Minnesota, Mille Lacs",247,239,8,0,0,0,0
"Minnesota, Olmsted",364,313,51,0,0,0,0
"Minnesota, Ramsey",365,296,69,0,0,0,0
"Minnesota, Saint Louis",365,327,37,1,0,0,0
"Minnesota, Scott",365,314,51,0,0,0,0
"Minnesota, Stearns",344,313,31,0,0,0,0
"Minnesota, Washington",260,212,48,0,0,0,0
"Minnesota, Winona",115,108,7,0,0,0,0
"Minnesota, Wright",362,322,40,0,0,0,0
"Mississippi, Bolivar",364,270,94,0,0,0,0
"Mississippi, DeSoto",364,296,67,1,0,0,0
"Mississippi, Forrest",358,298,60,0,0,0,0
"Mississippi, Hancock",365,316,49,0,0,0,0
"Mississippi, Harrison",363,284,79,0,0,0,0
"Mississippi, Hinds",365,256,109,0,0,0,0
"Mississippi, Jackson",365,289,75,1,0,0,0
"Mississippi, Lauderdale",245,229,16,0,0,0,0
"Mississippi, Lee",241,222,19,0,0,0,0
"Mississippi, Yalobusha",348,334,14,0,0,0,0
"Missouri, Andrew",245,227,18,0,0,0,0
"Missouri, Boone",245,239,6,0,0,0,0
"Missouri, Buchanan",365,295,70,0,0,0,0
"Missouri, Callaway",245,238,7,0,0,0,0
"Missouri, Cass",365,319,46,0,0,0,0
"Missouri, Cedar",351,285,66,0,0,0,0
"Missouri, Clay",365,295,70,0,0,0,0
"Missouri, Clinton",245,213,32,0,0,0,0
"Missouri, Greene",365,322,43,0,0,0,0
"Missouri, Jackson",365,265,100,0,0,0,0
"Missouri, Jasper",365,324,40,1,0,0,0
"Missouri, Jefferson",361,290,69,2,0,0,0
"Missouri, Lincoln",245,223,22,0,0,0,0
"Missouri, Monroe",365,357,8,0,0,0,0
