X,Y,FID,year_,MSHA_ID,name,type_,mstafips,state,county,mctyfips,lat,lon,unit,tot_prod,notes
-76.0307759999999,40.761244,241,2020,3608140,Bell Corp,Surface,42,Pennsylvania,Schuylkill,107,40.761244,-76.030776,short tons,539,
-78.3233329999999,41.0083330000001,242,2020,3608163,Hoover Job,Surface,42,Pennsylvania,Clearfield,33,41.008333,-78.323333,short tons,"20,953",
-78.395746,40.835063,243,2020,3608248,Shawver Operation,Surface,42,Pennsylvania,Clearfield,33,40.835063,-78.395746,short tons,"3,478",
-76.0813879999999,41.157222,244,2020,3608391,Glen Lyon Operation,Surface,42,Pennsylvania,Luzerne,79,41.157222,-76.081388,short tons,"8,752",
-78.671114,40.675444,245,2020,3608398,Epb Strip,Surface,42,Pennsylvania,Cambria,21,40.675444,-78.671114,short tons,"8,087",
-75.9687039999999,41.2077360000001,246,2020,3608399,No 7 Operation,Surface,42,Pennsylvania,Luzerne,79,41.207736,-75.968704,short tons,"11,032",Refuse coal is included
-76.449444,40.7647220000001,247,2020,3608489,West Spring Energy,Surface,42,Pennsylvania,Northumberland,97,40.764722,-76.449444,short tons,"115,477",
-76.9966659999999,40.5994440000001,248,2020,3608494,Good Spring South,Surface,42,Pennsylvania,Schuylkill,107,40.599444,-76.996666,short tons,"82,644",
-79.0470539999999,40.190209,249,2020,3608501,Mountaineer #1,Surface,42,Pennsylvania,Somerset,111,40.190209,-79.047054,short tons,"3,707",
-77.966237,41.1212190000001,250,2020,3608504,Pioneer #1,Surface,42,Pennsylvania,Clearfield,33,41.121219,-77.966237,short tons,"3,408",
-79.7548619999999,40.234043,251,2020,3608517,"Adc, Inc Pit 008",Surface,42,Pennsylvania,Westmoreland,129,40.234043,-79.754862,short tons,"3,479",
-75.9638879999999,40.926388,252,2020,3608550,Hazleton Shaft South,Surface,42,Pennsylvania,Luzerne,79,40.926388,-75.963888,short tons,"604,167",
-76.323611,40.7925000000001,253,2020,3608590,Continental Strip,Surface,42,Pennsylvania,Schuylkill,107,40.7925,-76.323611,short tons,"64,540",
-76.45,40.5872220000001,254,2020,3608679,No 5 Vein,Underground,42,Pennsylvania,Schuylkill,107,40.587222,-76.45,short tons,"7,601",
-76.233888,40.8166660000001,255,2020,3608684,Hynoski Bros Shenandoah Strip,Surface,42,Pennsylvania,Schuylkill,107,40.816666,-76.233888,short tons,"3,185",
-79.286538,40.6995400000001,256,2020,3608701,Dutch Run,Underground,42,Pennsylvania,Armstrong,5,40.69954,-79.286538,short tons,"201,658",
-78.683056,40.9991670000001,257,2020,3608750,"Bell Resources, Inc",Surface,42,Pennsylvania,Clearfield,33,40.999167,-78.683056,short tons,"34,307",
-76.376389,40.803056,258,2020,3608780,Logan Surface Mine,Surface,42,Pennsylvania,Columbia,37,40.803056,-76.376389,short tons,"81,601",
-79.3280559999999,40.6611110000001,259,2020,3608785,Parkwood Mine,Underground,42,Pennsylvania,Armstrong,5,40.661111,-79.328056,short tons,"118,417",
-76.1769439999999,40.8147220000001,260,2020,3608860,Ellangowan Stripping,Surface,42,Pennsylvania,Schuylkill,107,40.814722,-76.176944,short tons,"192,166",
-76.358056,40.825,261,2020,3608871,Mid Valley Bank,Surface,42,Pennsylvania,Columbia,37,40.825,-76.358056,short tons,"9,827",Refuse coal is included
-76.128611,40.736388,262,2020,3608893,7 Ft Slope,Underground,42,Pennsylvania,Schuylkill,107,40.736388,-76.128611,short tons,"2,837",
