State_County,StateDesc,LocationName,Levels_Smokers,Levels_COPD,Low CL COPD,High CL COPD
"Georgia, Telfair",Georgia,Telfair,25.3,10.5,9.5,11.6
"Georgia, Lumpkin",Georgia,Lumpkin,18.8,8.4,7.1,9.7
"Georgia, Whitfield",Georgia,Whitfield,20.6,7.9,6.9,8.8
"Georgia, Bleckley",Georgia,Bleckley,20.0,8.8,7.8,9.8
"Georgia, Clarke",Georgia,Clarke,17.6,6.3,5.5,7.1
"Colorado, Teller",Colorado,Teller,13.9,6.2,5.1,7.3
"Florida, Madison",Florida,Madison,23.3,12.0,10.9,13.4
"Georgia, Pierce",Georgia,Pierce,23.4,10.6,9.3,11.9
"Georgia, Stephens",Georgia,Stephens,20.2,9.3,8.0,10.6
"Idaho, Canyon",Idaho,Canyon,17.5,6.3,5.5,7.1
"Hawaii, Honolulu",Hawaii,Honolulu,13.1,4.2,3.8,4.6
"Georgia, Jackson",Georgia,Jackson,20.4,7.8,6.7,9.1
"Hawaii, Hawaii",Hawaii,Hawaii,16.7,6.1,5.5,6.7
"Georgia, Pulaski",Georgia,Pulaski,21.3,10.4,9.2,11.7
"Connecticut, New London",Connecticut,New London,13.0,6.0,5.1,7.0
"Georgia, Walton",Georgia,Walton,20.3,8.3,7.2,9.4
"Florida, Flagler",Florida,Flagler,18.5,10.3,8.8,11.8
"Georgia, Charlton",Georgia,Charlton,26.7,10.8,9.7,12.0
"Florida, Gadsden",Florida,Gadsden,21.2,10.5,9.5,11.6
"Georgia, Walker",Georgia,Walker,22.5,10.1,8.6,11.8
"Georgia, Macon",Georgia,Macon,25.4,11.1,10.1,12.2
"Georgia, Pickens",Georgia,Pickens,18.9,9.2,7.7,10.7
"Georgia, Catoosa",Georgia,Catoosa,19.4,8.4,7.2,9.8
"Georgia, Echols",Georgia,Echols,22.4,8.7,7.8,9.6
"Florida, Palm Beach",Florida,Palm Beach,14.0,7.6,6.5,8.8
"Georgia, Newton",Georgia,Newton,20.3,7.6,6.8,8.5
"Florida, Manatee",Florida,Manatee,15.8,9.4,7.9,11.2
"Florida, Seminole",Florida,Seminole,13.5,6.4,5.5,7.3
"Florida, Hillsborough",Florida,Hillsborough,16.1,6.6,5.8,7.5
"Idaho, Camas",Idaho,Camas,17.9,8.8,7.5,10.0
"Idaho, Payette",Idaho,Payette,16.9,7.3,6.4,8.3
"Georgia, Wheeler",Georgia,Wheeler,26.0,9.8,8.8,10.7
"Colorado, Summit",Colorado,Summit,13.2,4.4,3.6,5.2
"Georgia, Oconee",Georgia,Oconee,13.3,5.7,4.7,6.8
"Florida, Broward",Florida,Broward,14.8,6.7,6.1,7.5
"Florida, Duval",Florida,Duval,19.1,7.8,7.0,8.7
"Georgia, Monroe",Georgia,Monroe,19.5,8.4,7.3,9.8
"Georgia, Jenkins",Georgia,Jenkins,26.8,11.7,10.6,12.8
"Georgia, Early",Georgia,Early,24.3,11.6,10.5,12.8
"Idaho, Clark",Idaho,Clark,18.1,7.3,6.3,8.3
"Florida, Levy",Florida,Levy,22.9,13.0,11.4,14.6
"Georgia, Burke",Georgia,Burke,23.2,10.1,9.0,11.2
"Idaho, Butte",Idaho,Butte,17.2,8.8,7.5,10.0
"Georgia, Johnson",Georgia,Johnson,26.3,11.1,9.9,12.3
"Idaho, Blaine",Idaho,Blaine,13.5,5.8,4.9,7.0
"Georgia, Pike",Georgia,Pike,20.1,8.0,7.0,9.1
"Georgia, Elbert",Georgia,Elbert,23.2,11.3,10.1,12.6
