State_County,State,County,Levels_Smokers,Levels_COPD
"Idaho, Blaine",Idaho,Blaine,13.5,5.8
"Georgia, Pike",Georgia,Pike,20.1,8.0
"Georgia, Elbert",Georgia,Elbert,23.2,11.3
"Idaho, Oneida",Idaho,Oneida,16.1,7.6
"Colorado, San Juan",Colorado,San Juan,14.4,6.4
"Idaho, Bannock",Idaho,Bannock,17.3,6.1
"Georgia, Emanuel",Georgia,Emanuel,24.2,10.5
"Georgia, Terrell",Georgia,Terrell,24.6,11.8
"Florida, Lake",Florida,Lake,17.9,9.5
"Georgia, Bacon",Georgia,Bacon,24.6,11.1
"Florida, Lafayette",Florida,Lafayette,25.0,10.9
"Idaho, Lincoln",Idaho,Lincoln,18.4,6.9
"Georgia, Liberty",Georgia,Liberty,21.6,6.3
"Connecticut, Windham",Connecticut,Windham,16.9,6.8
"Georgia, Montgomery",Georgia,Montgomery,22.0,9.4
"Georgia, DeKalb",Georgia,DeKalb,15.0,5.8
"Florida, Leon",Florida,Leon,15.2,6.6
"Georgia, Dawson",Georgia,Dawson,17.5,7.7
"Idaho, Bonneville",Idaho,Bonneville,15.6,5.5
"Georgia, Spalding",Georgia,Spalding,21.6,9.6
"Idaho, Adams",Idaho,Adams,16.5,8.7
"Georgia, Putnam",Georgia,Putnam,19.5,9.8
"Georgia, Treutlen",Georgia,Treutlen,25.3,11.6
"Florida, Jefferson",Florida,Jefferson,21.2,11.5
"Idaho, Ada",Idaho,Ada,13.2,5.0
"Georgia, Taylor",Georgia,Taylor,25.8,12.6
"Florida, Volusia",Florida,Volusia,19.4,9.6
"Idaho, Cassia",Idaho,Cassia,15.6,6.2
"Florida, Collier",Florida,Collier,14.2,8.7
"Georgia, Glascock",Georgia,Glascock,23.6,10.9
"Georgia, Dade",Georgia,Dade,21.3,9.8
"Idaho, Bingham",Idaho,Bingham,15.9,6.3
"Georgia, Houston",Georgia,Houston,18.0,6.8
"Florida, Liberty",Florida,Liberty,26.0,11.0
"Florida, Brevard",Florida,Brevard,16.7,9.2
"Georgia, Laurens",Georgia,Laurens,22.9,10.4
"Georgia, Lanier",Georgia,Lanier,23.6,9.6
"Georgia, Fayette",Georgia,Fayette,13.2,5.9
"Georgia, Douglas",Georgia,Douglas,18.7,6.6
"Florida, Franklin",Florida,Franklin,24.1,12.2
"Georgia, Baker",Georgia,Baker,21.2,10.4
"Georgia, Ben Hill",Georgia,Ben Hill,23.5,10.8
"Colorado, San Miguel",Colorado,San Miguel,12.2,4.5
"Georgia, Effingham",Georgia,Effingham,20.4,7.0
"Florida, Sarasota",Florida,Sarasota,14.7,9.5
"Georgia, Lamar",Georgia,Lamar,20.6,8.6
"Florida, Monroe",Florida,Monroe,16.6,7.6
"Idaho, Custer",Idaho,Custer,16.7,9.3
"Florida, Bradford",Florida,Bradford,26.3,11.6
"Connecticut, New Haven",Connecticut,New Haven,14.5,5.7
"Georgia, Upson",Georgia,Upson,23.4,10.5
"Georgia, Towns",Georgia,Towns,16.0,10.1
