State_County,State,County,Days_with_AQI,Good_Days,Moderate_Days,Unhealthy_for_Sensitive_Groups_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days
"Connecticut, Middlesex",Connecticut,Middlesex,387.0,336.0,41.0,9.0,1.0,0.0,0.0
"Connecticut, New Haven",Connecticut,New Haven,730.0,534.0,177.0,17.0,2.0,0.0,0.0
"Connecticut, New London",Connecticut,New London,720.0,593.0,114.0,13.0,0.0,0.0,0.0
"Connecticut, Tolland",Connecticut,Tolland,395.0,343.0,41.0,11.0,0.0,0.0,0.0
"Connecticut, Windham",Connecticut,Windham,719.0,682.0,34.0,3.0,0.0,0.0,0.0
"Country Of Mexico, BAJA CALIFORNIA NORTE",Country Of Mexico,BAJA CALIFORNIA NORTE,397.0,91.0,252.0,42.0,5.0,0.0,7.0
"Country Of Mexico, SONORA",Country Of Mexico,SONORA,420.0,321.0,93.0,5.0,0.0,1.0,0.0
"Delaware, Kent",Delaware,Kent,627.0,492.0,135.0,0.0,0.0,0.0,0.0
"Delaware, New Castle",Delaware,New Castle,730.0,471.0,249.0,8.0,2.0,0.0,0.0
"Delaware, Sussex",Delaware,Sussex,623.0,487.0,134.0,2.0,0.0,0.0,0.0
"District Of Columbia, District of Columbia",District Of Columbia,District of Columbia,730.0,436.0,280.0,13.0,1.0,0.0,0.0
"Florida, Alachua",Florida,Alachua,729.0,660.0,69.0,0.0,0.0,0.0,0.0
"Florida, Baker",Florida,Baker,714.0,687.0,27.0,0.0,0.0,0.0,0.0
"Florida, Bay",Florida,Bay,722.0,603.0,118.0,1.0,0.0,0.0,0.0
"Florida, Brevard",Florida,Brevard,716.0,637.0,79.0,0.0,0.0,0.0,0.0
"Florida, Broward",Florida,Broward,728.0,587.0,141.0,0.0,0.0,0.0,0.0
"Florida, Citrus",Florida,Citrus,481.0,446.0,35.0,0.0,0.0,0.0,0.0
"Florida, Collier",Florida,Collier,727.0,648.0,79.0,0.0,0.0,0.0,0.0
"Florida, Columbia",Florida,Columbia,728.0,566.0,162.0,0.0,0.0,0.0,0.0
"Florida, Duval",Florida,Duval,726.0,499.0,223.0,4.0,0.0,0.0,0.0
"Florida, Escambia",Florida,Escambia,730.0,546.0,178.0,6.0,0.0,0.0,0.0
"Florida, Flagler",Florida,Flagler,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Florida, Hamilton",Florida,Hamilton,656.0,540.0,116.0,0.0,0.0,0.0,0.0
"Florida, Highlands",Florida,Highlands,587.0,565.0,22.0,0.0,0.0,0.0,0.0
"Florida, Hillsborough",Florida,Hillsborough,730.0,499.0,221.0,10.0,0.0,0.0,0.0
"Florida, Holmes",Florida,Holmes,727.0,573.0,154.0,0.0,0.0,0.0,0.0
"Florida, Indian River",Florida,Indian River,643.0,612.0,31.0,0.0,0.0,0.0,0.0
"Florida, Lake",Florida,Lake,695.0,604.0,89.0,2.0,0.0,0.0,0.0
"Florida, Lee",Florida,Lee,730.0,634.0,95.0,1.0,0.0,0.0,0.0
"Florida, Leon",Florida,Leon,725.0,493.0,228.0,3.0,1.0,0.0,0.0
"Florida, Liberty",Florida,Liberty,683.0,662.0,21.0,0.0,0.0,0.0,0.0
"Florida, Manatee",Florida,Manatee,567.0,532.0,32.0,3.0,0.0,0.0,0.0
"Florida, Marion",Florida,Marion,730.0,608.0,122.0,0.0,0.0,0.0,0.0
"Florida, Martin",Florida,Martin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Florida, Miami-Dade",Florida,Miami-Dade,728.0,585.0,138.0,5.0,0.0,0.0,0.0
"Florida, Nassau",Florida,Nassau,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Florida, Okaloosa",Florida,Okaloosa,725.0,670.0,54.0,1.0,0.0,0.0,0.0
"Florida, Orange",Florida,Orange,725.0,597.0,125.0,3.0,0.0,0.0,0.0
"Florida, Osceola",Florida,Osceola,729.0,685.0,40.0,4.0,0.0,0.0,0.0
"Florida, Palm Beach",Florida,Palm Beach,722.0,633.0,89.0,0.0,0.0,0.0,0.0
"Florida, Pasco",Florida,Pasco,730.0,658.0,71.0,1.0,0.0,0.0,0.0
"Florida, Pinellas",Florida,Pinellas,730.0,566.0,164.0,0.0,0.0,0.0,0.0
"Florida, Polk",Florida,Polk,730.0,607.0,122.0,1.0,0.0,0.0,0.0
"Florida, Putnam",Florida,Putnam,709.0,704.0,5.0,0.0,0.0,0.0,0.0
"Florida, Santa Rosa",Florida,Santa Rosa,729.0,585.0,139.0,5.0,0.0,0.0,0.0
"Florida, Sarasota",Florida,Sarasota,730.0,499.0,224.0,7.0,0.0,0.0,0.0
"Florida, Seminole",Florida,Seminole,730.0,662.0,67.0,1.0,0.0,0.0,0.0
"Florida, St. Lucie",Florida,St. Lucie,717.0,654.0,63.0,0.0,0.0,0.0,0.0
"Florida, Volusia",Florida,Volusia,715.0,629.0,86.0,0.0,0.0,0.0,0.0
"Florida, Wakulla",Florida,Wakulla,716.0,652.0,64.0,0.0,0.0,0.0,0.0
"Georgia, Bibb",Georgia,Bibb,726.0,473.0,245.0,7.0,1.0,0.0,0.0
"Georgia, Charlton",Georgia,Charlton,223.0,213.0,10.0,0.0,0.0,0.0,0.0
"Georgia, Chatham",Georgia,Chatham,700.0,522.0,177.0,1.0,0.0,0.0,0.0
"Georgia, Chattooga",Georgia,Chattooga,506.0,464.0,42.0,0.0,0.0,0.0,0.0
"Georgia, Clarke",Georgia,Clarke,728.0,485.0,241.0,2.0,0.0,0.0,0.0
"Georgia, Clayton",Georgia,Clayton,235.0,171.0,64.0,0.0,0.0,0.0,0.0
"Georgia, Cobb",Georgia,Cobb,643.0,426.0,211.0,4.0,2.0,0.0,0.0
"Georgia, Coffee",Georgia,Coffee,178.0,151.0,26.0,1.0,0.0,0.0,0.0
"Georgia, Columbia",Georgia,Columbia,484.0,437.0,47.0,0.0,0.0,0.0,0.0
